Date,Malaria_Cases,Chikungunya_Cases,Dengue_Cases,Avg_Temperature,Rainfall,Humidity,Population_Density,Day_Length,Vaccinations_Given
2018-01-01,7,6,7,29.267708603018207,24.25473299897701,63.29706768697461,1457.2098537744039,13.418469852607341,70
2018-01-02,43,3,43,33.033574767180774,16.681419791843282,62.62132722652542,980.8448365413868,10.921979349406083,7
2018-01-03,11,7,11,28.559146199582443,39.5779101295685,54.264944757463915,640.2801853968642,11.310265175688503,456
2018-01-04,40,4,40,20.455805895452553,22.564705651462745,64.67193282585073,1140.6686696290012,10.839571369219989,385
2018-01-05,33,6,33,33.964230432604666,9.172109820171725,53.979786754918585,693.1316560520831,11.967503837843296,400
2018-01-06,41,9,41,30.342901265473415,42.748700978073714,80.66383778848206,1921.4354877810006,10.078442129897015,51
2018-01-07,40,2,40,30.147700786658696,44.127993838617364,88.65097190992743,1212.7562990339425,12.685472035587182,44
2018-01-08,27,6,27,23.235127285965756,23.315487807008505,88.80297826666828,975.8887615353013,12.092632599270566,292
2018-01-09,49,7,49,29.883282053489857,3.7849863654893734,84.60284397501576,1649.4561066783501,13.594555713204413,425
2018-01-10,20,4,20,25.90796608481238,19.391304495846562,74.03168597358476,1246.9228888733958,10.657570737313657,299
2018-01-11,35,3,35,29.768494655622384,40.17688297313017,78.0346278897552,965.0510360186751,13.216436984244528,464
2018-01-12,38,7,38,21.59889545461986,45.088701427311435,61.40823210721656,1717.9516135862025,13.167844057866862,372
2018-01-13,5,7,5,29.867679569045542,10.173637124879791,75.23081680690483,1800.728226501683,10.508724756867547,37
2018-01-14,22,2,22,34.991205886559996,3.348680601263576,68.2259819775951,1509.5122494330155,11.594236896576511,354
2018-01-15,44,5,44,20.72318058290834,43.86752265664193,69.2806935910773,570.4466336115009,10.680610564578068,379
2018-01-16,47,4,47,34.65761276331976,19.470246948943764,80.31106241500632,1349.4843202497982,11.018882001830196,494
2018-01-17,19,1,19,26.10361941084306,27.088048213378162,61.27673422389007,1644.9423679959225,11.052984699322177,230
2018-01-18,21,7,21,33.061301755058885,48.40329060253794,62.721584467780794,704.7545181253732,12.22494557610309,477
2018-01-19,48,5,48,31.735782260874103,3.3282363957111425,86.98567164514546,843.006127076905,11.645643727041861,261
2018-01-20,14,1,14,28.50524391480002,32.41590037260478,52.24897179403889,1823.7426576022046,13.790931216025221,67
2018-01-21,24,4,24,31.076738138769898,3.7052711287433535,69.42537193653362,530.182582779611,10.50548056778802,178
2018-01-22,10,0,10,33.177733419520216,18.77344642332502,86.51203201631446,1629.090706738964,13.894768539400795,356
2018-01-23,12,9,12,26.062104824765495,40.190727259672336,74.41452031272628,1210.6599387716344,10.922554560857055,418
2018-01-24,49,5,49,24.90549742344858,21.67361163778172,71.85628296848529,1170.1582382594102,13.091495745527412,185
2018-01-25,38,8,38,30.01390078345377,49.85911769514752,59.98976716917421,510.64479874233075,11.355879704691286,440
2018-01-26,36,0,36,32.11768912911888,27.952964247330108,63.73101956257793,1729.0973464497392,10.572325581669256,200
2018-01-27,46,9,46,31.434277021649237,16.058107631797675,84.08193663218772,1039.7373509548497,13.43155674098496,389
2018-01-28,8,2,8,31.967204732879516,11.005566295237657,72.36872527073832,1311.1484469508143,11.235443596945853,12
2018-01-29,48,6,48,26.533749722193996,17.52602671430809,70.5896877502712,1515.9510295034893,12.635421616907369,442
2018-01-30,43,3,43,32.26751324262533,18.62666368797754,53.98318854160116,1553.9443646568736,12.265774740346506,213
2018-01-31,24,8,24,21.80313583055913,3.4356838861980488,50.64112625820493,1933.9700882391085,11.887025237563497,219
2018-02-01,28,2,28,28.167336469412746,18.47870997133866,88.54740754748197,1297.0099298549135,11.983277890594156,285
2018-02-02,28,4,28,20.086379907471823,23.211925986961248,65.07944669147366,1099.5793264616414,12.92895165636915,243
2018-02-03,30,2,30,24.868787448504055,36.13688761194023,74.12852248398018,1930.555439737562,10.351091656493763,355
2018-02-04,29,6,29,25.49692302307097,32.8364742360804,53.1886029274914,1463.1653525382817,12.67272264783162,257
2018-02-05,40,4,40,25.94259037413883,35.438282761457714,77.32457142892187,947.2255344148334,13.583248405594315,57
2018-02-06,11,8,11,30.432008100347932,0.41818409384285493,87.30266834823843,689.6963681053567,10.231152788079456,35
2018-02-07,14,6,14,25.828371519055185,10.883369979026803,73.02661011989679,1763.831752197772,10.562613356934667,327
2018-02-08,16,1,16,26.73040433933796,33.084214419992826,55.04461289501642,1043.2724041912275,12.866527746808126,428
2018-02-09,5,3,5,23.56316196311491,24.199468408987357,73.26886109893907,1490.7045820466467,11.74912659297847,489
2018-02-10,29,8,29,25.5987768744401,0.2656737834172973,80.6538885241861,1206.2246290488472,11.614194483254753,497
2018-02-11,20,1,20,23.409044408947274,40.22473212159112,66.25666146296075,798.3946696925575,10.547866538176944,392
2018-02-12,9,9,9,21.097938856526653,38.64047866451687,85.19350991765872,1402.5299129306977,12.027080162871153,381
2018-02-13,23,8,23,29.05172890072067,27.420958149678132,75.94731813429458,591.0246034260235,10.506181244785509,192
2018-02-14,8,9,8,30.023191978325244,3.323166288813606,85.9699567315681,1120.0136898067883,11.906481825242162,332
2018-02-15,10,4,10,29.292355190144217,38.32575247662923,74.9402124498935,1319.9224094955066,13.054461195846628,49
2018-02-16,30,1,30,26.952410657008585,29.185679386568196,55.25151888019297,1154.0704611778688,11.033057431548654,462
2018-02-17,43,3,43,25.69678670268845,39.097998857897956,62.38766844420756,1623.0082628764862,11.923144672718909,31
2018-02-18,43,6,43,32.95000474357738,37.58734961979202,58.07179793009828,1741.8874318179687,13.968063877587342,97
2018-02-19,13,7,13,27.78622677704327,40.15010359789186,86.3530599086745,1656.864611049767,12.74660169341615,42
2018-02-20,49,2,49,27.187728164445964,25.90040332023124,80.4160026914993,558.2194217177032,13.365427085220794,380
2018-02-21,18,0,18,20.384630987096536,7.016225909675749,77.05593475640023,791.1931556689583,11.659390426242183,350
2018-02-22,13,3,13,25.118717414392346,33.557873668984435,62.038652785264865,1304.9112638956615,13.071443692503422,333
2018-02-23,19,1,19,25.702934281787854,31.02368925259853,57.36179088200854,1902.233060665702,10.162036691765287,309
2018-02-24,41,7,41,25.982341713453508,37.11265935995436,80.25804351955648,1752.4351625781753,10.49164473016898,46
2018-02-25,24,3,24,28.702585538409984,8.494050302536765,68.96631783516318,1763.8017625277025,10.812282371680249,269
2018-02-26,12,1,12,28.004038200903175,9.748759995014462,59.03158208602517,954.8122906395124,11.607807698460878,431
2018-02-27,36,5,36,29.11857639190167,44.52047586096642,74.664879126611,1144.1718456180538,13.382979513303052,310
2018-02-28,25,5,25,31.473248923131926,37.49888992260354,51.61335408553808,1206.058920973906,11.385064203151721,412
2018-03-01,45,9,45,32.1947860807414,45.411424435016144,63.04681016513014,736.0573750248657,12.618484774061852,430
2018-03-02,23,3,23,30.77184614339742,37.93576605819604,68.74227978364539,546.6021953666844,12.837257179213934,62
2018-03-03,33,5,33,34.33285543932402,29.857765299515094,55.91833336437623,1920.3543491907753,12.344729416353365,18
2018-03-04,35,1,35,20.273488740145424,32.70663685139368,89.38617910363358,861.0688784952602,11.428967872680545,346
2018-03-05,10,9,10,22.93666978525319,44.456396197000494,58.36389458358457,859.923355585447,12.308213366854178,392
2018-03-06,8,1,8,20.11344312467213,28.940337725597026,55.214125201730624,625.0685806531393,11.369062371158986,100
2018-03-07,47,9,47,29.712120712319045,31.619566216419372,58.14139495547586,1892.7616279156678,10.335494954208048,36
2018-03-08,33,3,33,33.470458234249804,7.823835800180029,80.76244532638897,1369.605672409658,13.971215912744057,106
2018-03-09,46,7,46,23.65223444864449,23.696061005805134,67.02022637087371,1500.5552856880308,10.508729814530044,91
2018-03-10,7,6,7,33.9055181719446,35.81985559790495,72.61663759010152,1867.3653308945788,10.28939353534423,307
2018-03-11,5,8,5,20.90401085434341,13.54713491581827,50.84036627945443,1018.4302533511842,13.514122996828624,184
2018-03-12,48,7,48,34.01654040208271,10.112709026226746,51.37725234293258,1432.260966707126,11.20733864357158,215
2018-03-13,19,4,19,25.274340308594518,15.691340411220779,67.83302199308065,558.1991820933312,12.60118789629403,27
2018-03-14,25,1,25,21.52131242673825,12.075031399641672,82.66620972806494,780.158792346694,11.316022918648931,35
2018-03-15,35,4,35,27.288076387794884,10.745631851819793,85.40955514830262,1746.8687076349138,11.565817083177885,371
2018-03-16,11,7,11,23.851648515807618,21.242542143404346,53.46826270382561,1650.1525345075036,11.048451888067186,319
2018-03-17,21,9,21,24.27309352942884,45.391925694176706,71.53452408404091,1025.9640371857204,11.372176023172042,17
2018-03-18,23,8,23,24.609349473894298,25.352982336935913,86.52918745117083,1065.2159416613188,11.642801602346172,344
2018-03-19,43,8,43,32.04538846748995,9.396019040766152,65.51891017591545,1300.331650330369,12.88166427636937,418
2018-03-20,7,0,7,28.087419150128817,3.848583469043704,83.18263325713474,500.3615070277018,12.046144776939167,195
